,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,china,confucian_a,confucian_b,confucian_c,confucian_d,termlimit_a_1,termlimit_a_2,termlimit_a,termlist_a_1,termlist_a_2,termlist_a,termlist_b_1,termlist_b_2,termlist_b,weight_internet,treat,y,confucian_all,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all,termlimit_a_b
2,0,0,1,5,4,5,5,3,2.666666667,3,2,2,2,3,NA,1,1,NA,NA,NA,1,NA,1,0.2849104,1,1,2.25,1,0,0,1,1,0,0,0,0
4,0,0,1,5,7,3,2,4,2,1,1,1,1,3,1,NA,1,NA,0,0,NA,NA,NA,0.2849104,0,0,1.5,1,0,0,0,1,0,0,0,0
7,0,1,1,5,5,7,4,4,3,4,3,2,3,3,NA,5,5,4,NA,4,NA,NA,NA,0.1339237,0,4,2.75,1,0,1,1,1,1,1,1,1
9,1,1,1,5,7,4,3,2,1.666666667,3,2,2,1,3,1,NA,1,NA,NA,NA,NA,2,2,0.1681787,1,2,2,1,0,0,0,0,0,0,0,0
10,0,1,1,5,7,8,4,3,2.333333333,4,3,3,3,3,NA,4,4,3,NA,3,NA,NA,NA,0.1339237,0,3,3,1,0,1,1,1,0,1,1,1
11,0,0,1,5,5,5,3,3,2.333333333,1,2,2,3,3,NA,5,5,2,NA,2,NA,NA,NA,0.2849104,0,2,2.5,1,0,0,0,1,0,0,0,1
12,0,1,1,6,4,7,4,3,3,3,2,2,2,3,NA,1,1,1,NA,1,NA,NA,NA,0.1339237,0,1,2.25,1,0,1,1,1,1,0,0,0
13,1,0,0,5,4,5,2,2,3,3,1,1,2,2,5,NA,5,NA,NA,NA,NA,2,2,0.3577848,1,2,1.5,1,0,0,0,0,1,0,0,1
14,1,0,1,5,7,7,4,4,3.333333333,5,3,3,3,4,4,NA,4,NA,3,3,NA,NA,NA,0.3577848,0,3,3.25,1,0,1,1,1,1,1,1,1
15,1,1,1,6,3,7,4,3,3.333333333,4,2,2,2,3,NA,4,4,2,NA,2,NA,NA,NA,0.100821,0,2,2.25,1,1,1,1,1,1,1,0,1
18,0,0,0,5,6,9,4,4,2,5,3,4,3,3,4,NA,4,NA,NA,NA,NA,4,4,0.2849104,1,4,3.25,1,0,1,1,1,0,1,1,1
21,0,0,1,5,7,7,4,3,2.666666667,4,2,1,3,3,NA,4,4,NA,NA,NA,3,NA,3,0.2849104,1,3,2.25,1,0,1,1,1,0,1,0,1
22,0,0,1,5,5,5,4,2,2.666666667,2,2,3,2,4,NA,1,1,NA,NA,NA,1,NA,1,0.2849104,1,1,2.75,1,0,0,1,0,0,0,1,0
24,0,1,1,5,5,6,4,4,3,5,2,3,2,4,NA,4,4,NA,NA,NA,3,NA,3,0.1339237,1,3,2.75,1,0,1,1,1,1,1,1,1
25,1,0,1,5,3,6,3,2,2.333333333,4,1,3,3,3,2,NA,2,NA,NA,NA,NA,2,2,0.214487,1,2,2.5,1,1,1,0,0,0,1,0,0
26,1,0,1,5,5,5,5,3,2.333333333,5,3,2,2,4,NA,4,4,1,NA,1,NA,NA,NA,0.3577848,0,1,2.75,1,0,0,1,1,0,1,1,1
27,1,1,1,6,3,7,4,3,3.333333333,4,2,2,2,3,NA,4,4,2,NA,2,NA,NA,NA,0.100821,0,2,2.25,1,1,1,1,1,1,1,0,1
28,0,0,1,4,5,7,4,3,2.333333333,4,2,3,2,3,1,NA,1,NA,1,1,NA,NA,NA,2.993115,0,1,2.5,0,0,1,1,1,0,1,0,0
29,0,0,1,3,10,3,1,3,1.333333333,3,3,3,3,4,NA,4,4,NA,NA,NA,3,NA,3,2.993115,1,3,3.25,0,0,0,0,1,0,0,1,1
30,1,0,1,5,4,5,4,4,3,4,3,3,3,4,NA,2,2,2,NA,2,NA,NA,NA,0.3577848,0,2,3.25,1,0,0,1,1,1,1,1,0
33,0,0,1,5,6,7,5,4,3,3,3,2,2,4,NA,1,1,NA,NA,NA,2,NA,2,0.2849104,1,2,2.75,1,0,1,1,1,1,0,1,0
34,1,0,1,5,3,7,4,3,3,5,2,3,4,3,2,NA,2,NA,2,2,NA,NA,NA,0.214487,0,2,3,1,1,1,1,1,1,1,1,0
36,0,0,1,5,4,4,4,3,3.333333333,3,2,1,1,3,1,NA,1,NA,NA,NA,NA,1,1,0.2849104,1,1,1.75,1,0,0,1,1,1,0,0,0
37,0,0,1,5,5,6,3,4,2.333333333,4,2,3,3,3,4,NA,4,NA,NA,NA,NA,3,3,0.2849104,1,3,2.75,1,0,1,0,1,0,1,1,1
38,1,0,1,5,5,9,5,4,3.666666667,5,3,3,3,4,NA,5,5,2,NA,2,NA,NA,NA,0.3577848,0,2,3.25,1,0,1,1,1,1,1,1,1
39,0,0,0,2,5,5,3,1,2.333333333,1,2,1,2,3,NA,4,4,4,NA,4,NA,NA,NA,2.993115,0,4,2,0,0,0,0,0,0,0,0,1
40,1,0,1,5,5,5,4,4,3,4,2,2,2,3,2,NA,2,NA,1,1,NA,NA,NA,0.3577848,0,1,2.25,1,0,0,1,1,1,1,0,0
42,1,0,1,5,5,6,4,3,2.666666667,4,2,2,3,3,5,NA,5,NA,2,2,NA,NA,NA,0.3577848,0,2,2.5,1,0,1,1,1,0,1,0,1
43,0,0,1,4,6,4,3,3,3.666666667,2,2,1,1,3,NA,1,1,NA,NA,NA,2,NA,2,2.993115,1,2,1.75,0,0,0,0,1,1,0,0,0
45,0,0,1,6,8,4,3,4,2.666666667,1,2,2,1,3,NA,1,1,NA,NA,NA,1,NA,1,0.2849104,1,1,2,1,0,0,0,1,0,0,0,0
46,1,0,1,6,5,5,2,3,2.666666667,2,2,2,2,3,5,NA,5,NA,2,2,NA,NA,NA,0.3577848,0,2,2.25,1,0,0,0,1,0,0,0,1
