,trustlist_a_1,trustlist_b_1,trustlist_c_1,trustlist_a_2,trustlist_b_2,trustlist_c_2,trustlist_a,trustlist_b,trustlist_c,treat,y,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,confucian_a,confucian_b,confucian_c,confucian_d,china,confucian_all,centraltrust_all,localtrust_all,weight_internet,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all
1,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,0,1,5,5,7,4,3,2.333333333,3,3,3,3,4,3,4,3,0.2849104,1,0,1,1,1,0,1,1
2,NA,NA,NA,NA,NA,1,NA,NA,1,c,1,0,0,1,5,4,5,5,3,2.666666667,2,2,2,3,3,2.25,2,2,0.2849104,1,0,0,1,1,0,0,0
3,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,0,1,1,5,6,8,3,4,1.333333333,2,2,1,3,3,2,4,2,0.1339237,1,0,1,0,1,0,0,0
4,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,0,1,5,7,3,2,4,2,1,1,1,3,1,1.5,2,2,0.2849104,1,0,0,0,1,0,0,0
5,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,1,1,5,4,7,4,4,4,2,3,3,3,4,2.75,4,3,0.1681787,1,0,1,1,1,1,1,1
6,NA,NA,NA,NA,1,NA,NA,1,NA,b,1,1,0,1,5,6,5,3,2,1.333333333,3,4,3,4,4,3.5,3,3,0.3577848,1,0,0,0,0,0,1,1
7,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,0,1,1,5,5,7,4,4,3,3,2,3,3,4,2.75,4,3,0.1339237,1,0,1,1,1,1,1,1
8,NA,NA,NA,1,NA,NA,1,NA,NA,a,1,1,0,1,4,7,3,3,2,2,2,2,3,3,4,2.5,4,2,3.758696,0,0,0,0,0,0,1,0
9,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,1,1,5,7,4,3,2,1.666666667,2,2,1,3,3,2,3,2,0.1681787,1,0,0,0,0,0,0,0
10,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,0,1,1,5,7,8,4,3,2.333333333,3,3,3,3,4,3,4,3,0.1339237,1,0,1,1,1,0,1,1
11,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,0,1,5,5,5,3,3,2.333333333,2,2,3,3,1,2.5,3,1,0.2849104,1,0,0,0,1,0,0,0
12,NA,NA,NA,1,NA,NA,1,NA,NA,a,1,0,1,1,6,4,7,4,3,3,2,2,2,3,3,2.25,2,1,0.1339237,1,0,1,1,1,1,0,0
13,NA,3,NA,NA,NA,NA,NA,3,NA,b,3,1,0,0,5,4,5,2,2,3,1,1,2,2,3,1.5,3,2,0.3577848,1,0,0,0,0,1,0,0
14,NA,5,NA,NA,NA,NA,NA,5,NA,b,5,1,0,1,5,7,7,4,4,3.333333333,3,3,3,4,5,3.25,4,4,0.3577848,1,0,1,1,1,1,1,1
15,NA,NA,NA,NA,2,NA,NA,2,NA,b,2,1,1,1,6,3,7,4,3,3.333333333,2,2,2,3,4,2.25,3,3,0.100821,1,1,1,1,1,1,1,0
16,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,0,0,1,5,5,5,3,4,3.333333333,2,2,3,4,3,2.75,3,3,0.2849104,1,0,0,0,1,1,0,1
17,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,0,1,5,2,7,4,3,3.666666667,2,2,2,3,4,2.25,4,4,0.214487,1,1,1,1,1,1,1,0
18,NA,NA,3,NA,NA,NA,NA,NA,3,c,3,0,0,0,5,6,9,4,4,2,3,4,3,3,5,3.25,4,3,0.2849104,1,0,1,1,1,0,1,1
19,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,1,0,1,4,6,5,3,2,3,2,2,3,3,3,2.5,3,3,3.758696,0,0,0,0,0,1,0,0
20,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,4,7,5,3,4,1.666666667,3,3,3,3,4,3,4,3,2.993115,0,0,0,0,1,0,1,1
21,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,0,0,1,5,7,7,4,3,2.666666667,2,1,3,3,4,2.25,4,3,0.2849104,1,0,1,1,1,0,1,0
22,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,5,5,5,4,2,2.666666667,2,3,2,4,2,2.75,3,3,0.2849104,1,0,0,1,0,0,0,1
23,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,1,5,6,6,4,1,1.666666667,2,2,2,3,4,2.25,3,3,0.2849104,1,0,1,1,0,0,1,0
24,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,0,1,1,5,5,6,4,4,3,2,3,2,4,5,2.75,3,2,0.1339237,1,0,1,1,1,1,1,1
25,4,NA,NA,NA,NA,NA,4,NA,NA,a,4,1,0,1,5,3,6,3,2,2.333333333,1,3,3,3,4,2.5,4,2,0.214487,1,1,1,0,0,0,1,0
26,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,1,0,1,5,5,5,5,3,2.333333333,3,2,2,4,5,2.75,4,3,0.3577848,1,0,0,1,1,0,1,1
27,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,1,1,6,3,7,4,3,3.333333333,2,2,2,3,4,2.25,3,3,0.100821,1,1,1,1,1,1,1,0
28,NA,NA,4,NA,NA,NA,NA,NA,4,c,4,0,0,1,4,5,7,4,3,2.333333333,2,3,2,3,4,2.5,4,4,2.993115,0,0,1,1,1,0,1,0
29,NA,NA,NA,NA,NA,0,NA,NA,0,c,0,0,0,1,3,10,3,1,3,1.333333333,3,3,3,4,3,3.25,3,2,2.993115,0,0,0,0,1,0,0,1
30,NA,NA,NA,NA,NA,1,NA,NA,1,c,1,1,0,1,5,4,5,4,4,3,3,3,3,4,4,3.25,4,3,0.3577848,1,0,0,1,1,1,1,1
31,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,1,1,6,7,5,4,3,2,2,3,2,3,4,2.5,4,3,0.1339237,1,0,0,1,1,0,1,0
32,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,0,0,1,6,3,5,4,3,3.666666667,1,1,3,4,5,2.25,4,3,0.1707994,1,1,0,1,1,1,1,0
33,NA,NA,NA,NA,NA,1,NA,NA,1,c,1,0,0,1,5,6,7,5,4,3,3,2,2,4,3,2.75,2,2,0.2849104,1,0,1,1,1,1,0,1
34,NA,4,NA,NA,NA,NA,NA,4,NA,b,4,1,0,1,5,3,7,4,3,3,2,3,4,3,5,3,4,3,0.214487,1,1,1,1,1,1,1,1
35,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,0,1,5,4,6,5,3,2.666666667,3,2,2,3,4,2.5,2,2,0.2849104,1,0,1,1,1,0,1,0
36,NA,NA,2,NA,NA,NA,NA,NA,2,c,2,0,0,1,5,4,4,4,3,3.333333333,2,1,1,3,3,1.75,3,2,0.2849104,1,0,0,1,1,1,0,0
37,NA,NA,3,NA,NA,NA,NA,NA,3,c,3,0,0,1,5,5,6,3,4,2.333333333,2,3,3,3,4,2.75,4,3,0.2849104,1,0,1,0,1,0,1,1
38,NA,NA,NA,NA,NA,3,NA,NA,3,c,3,1,0,1,5,5,9,5,4,3.666666667,3,3,3,4,5,3.25,4,3,0.3577848,1,0,1,1,1,1,1,1
39,NA,NA,NA,0,NA,NA,0,NA,NA,a,0,0,0,0,2,5,5,3,1,2.333333333,2,1,2,3,1,2,1,1,2.993115,0,0,0,0,0,0,0,0
40,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,1,0,1,5,5,5,4,4,3,2,2,2,3,4,2.25,4,3,0.3577848,1,0,0,1,1,1,1,0
41,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,0,0,1,6,9,5,3,3,2.333333333,3,3,2,3,3,2.75,3,2,0.2849104,1,0,0,0,1,0,0,1
42,3,NA,NA,NA,NA,NA,3,NA,NA,a,3,1,0,1,5,5,6,4,3,2.666666667,2,2,3,3,4,2.5,4,3,0.3577848,1,0,1,1,1,0,1,0
43,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,0,1,4,6,4,3,3,3.666666667,2,1,1,3,2,1.75,3,3,2.993115,0,0,0,0,1,1,0,0
44,2,NA,NA,NA,NA,NA,2,NA,NA,a,2,0,1,0,6,2,8,4,3,3.333333333,3,3,3,4,4,3.25,4,3,0.0802852,1,1,1,1,1,1,1,1
45,NA,NA,NA,NA,NA,2,NA,NA,2,c,2,0,0,1,6,8,4,3,4,2.666666667,2,2,1,3,1,2,2,2,0.2849104,1,0,0,0,1,0,0,0
46,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,1,0,1,6,5,5,2,3,2.666666667,2,2,2,3,2,2.25,3,2,0.3577848,1,0,0,0,1,0,0,0
